Value
24
11
10
11
11
10
12
11
11
11
10
11
11
12
12
11
10
11
11
10
10
12
10
8
10
11
11
11
11
11
11
10
10
11
11
12
12
30
17
8
10
9
11
9
10
13
19
9
11
8
9
8
10
9
11
8
11
11
12
11
11
11
12
10
11
11
11
11
10
11
11
10
9
8
10
16
9
10
11
10
11
11
12
11
11
11
10
9
9
11
11
11
12
10
11
9
11
10
11
